date;TEMP_REAL;PESO_CHAT;HRD_ACUM;PESO_CAL_SIDER;PESO_CAL_DOLO;POT_ACT_MWH;PPM_O2;O2_PPAL_TOT_M;O2_ENV_TOT_M;GAS_TOT_M;CARBON_TOT_M;O2_ENV_TOT_L;GAS_TOT_L;CAL_TOT_L;FLUJO_HRD;NAME_COLADA
2018-10-07 23:30:43.171000-05:00;;;;;;;;4650.201;1097.351;642.3425;;;328.5867;;0.0;MOD14713
2018-10-07 23:30:43.577000-05:00;;;;;;;;4650.201;1097.351;642.3425;;617.8774;328.6285;;0.0;MOD14713
2018-10-07 23:30:43.984000-05:00;;;;;;;;4650.424;1097.485;642.3956;;617.9116;328.6285;;0.0;MOD14713
2018-10-07 23:30:44.359000-05:00;;;;;;;;4650.533;1097.552;642.4219;;617.9116;328.7166;;0.0;MOD14713
2018-10-07 23:30:44.765000-05:00;;;;;;;;4650.533;1097.552;642.4219;;617.9783;328.7616;;0.0;MOD14713
2018-10-07 23:30:45.171000-05:00;;;;;;;;4650.759;1097.688;642.4757;;618.0107;328.8045;;0.0;MOD14713
2018-10-07 23:30:45.562000-05:00;;;;;;;;4650.872;1097.757;642.5026;;618.0441;328.8045;;0.0;MOD14713
2018-10-07 23:30:45.968000-05:00;;;;;;;;4650.984;1097.825;642.5294;;618.0441;328.8925;;0.0;MOD14713
2018-10-07 23:30:46.359000-05:00;;;;;;;;4650.984;1097.825;642.5294;;618.1099;328.9354;;0.0;MOD14713
2018-10-07 23:30:46.749000-05:00;;;;;;;;4651.207;1097.96;642.5825;;618.1432;328.9354;;0.0;MOD14713
2018-10-07 23:30:47.140000-05:00;;;;;;;;4651.317;1098.027;642.6086;;618.1432;329.0223;;0.0;MOD14713
2018-10-07 23:30:47.546000-05:00;;;;;;;;4651.317;1098.027;642.6086;;618.2091;329.0663;;0.0;MOD14713
2018-10-07 23:30:47.937000-05:00;;;;;;;;4651.542;1098.163;642.6621;;618.2424;329.1104;;0.0;MOD14713
2018-10-07 23:30:48.343000-05:00;;;;;;;;4651.655;1098.231;642.6889;;618.2758;329.1104;;0.0;MOD14713
2018-10-07 23:30:48.718000-05:00;;;;;;;;4651.762;1098.296;642.7142;;618.2758;329.1961;;0.0;MOD14713
2018-10-07 23:30:49.124000-05:00;;;;;;;;4651.762;1098.296;642.7142;;618.3416;329.2412;;0.0;MOD14713
2018-10-07 23:30:49.530000-05:00;;;;;;;;4651.986;1098.431;642.7675;;618.3741;329.2412;;0.0;MOD14713
2018-10-07 23:30:49.937000-05:00;;;;;;;;4652.102;1098.5;642.7949;;618.3741;329.3292;;0.0;MOD14713
2018-10-07 23:30:50.327000-05:00;;;;;;;;4652.102;1098.5;642.7949;;618.4416;329.3732;;0.0;MOD14713
2018-10-07 23:30:50.718000-05:00;;;;;;;;4652.322;1098.633;642.8474;;618.4741;329.4161;;0.0;MOD14713
2018-10-07 23:30:51.124000-05:00;;;;;;;;4652.435;1098.7;642.874;;618.5074;329.4161;;0.0;MOD14713
2018-10-07 23:30:51.515000-05:00;;;;;;;;4652.435;1098.767;642.9006;;618.5074;329.5042;;0.0;MOD14713
2018-10-07 23:30:51.921000-05:00;;;;;;;;4652.658;1098.767;642.9006;;618.5741;329.5481;;0.0;MOD14713
2018-10-07 23:30:52.312000-05:00;;;;;;;;4652.768;1098.897;642.9529;;618.6066;329.5481;;0.0;MOD14713
2018-10-07 23:30:52.702000-05:00;;;;;;;;4652.874;1098.96;642.9781;;618.6066;329.6328;;0.0;MOD14713
2018-10-07 23:30:53.093000-05:00;;;;;;;;4652.874;1098.96;642.9781;;618.6716;329.6768;;0.0;MOD14713
2018-10-07 23:30:53.484000-05:00;;;;;;;;4653.095;1099.089;643.0301;;618.7041;329.7197;;0.0;MOD14713
2018-10-07 23:30:53.890000-05:00;;;;;;;;4653.204;1099.152;643.0555;;618.7366;329.7197;;0.0;MOD14713
2018-10-07 23:30:54.280000-05:00;;;;;;;;4653.204;1099.152;643.0555;;618.7366;329.8077;;0.0;MOD14713
2018-10-07 23:30:54.687000-05:00;;;;;;;;4653.433;1099.284;643.1085;;618.8041;329.8517;;0.0;MOD14713
2018-10-07 23:30:55.077000-05:00;;;;;;;;4653.542;1099.347;643.1342;;618.8366;329.8517;;0.0;MOD14713
2018-10-07 23:30:55.468000-05:00;;;;;;;;4653.655;1099.412;643.1605;;618.8366;329.9386;;0.0;MOD14713
2018-10-07 23:30:55.859000-05:00;;;;;;;;4653.655;1099.412;643.1605;;618.9025;329.9815;;0.0;MOD14713
2018-10-07 23:30:56.265000-05:00;;;;;;;;4653.877;1099.539;643.2126;;618.9358;330.0255;;0.0;MOD14713
2018-10-07 23:30:56.655000-05:00;;;;;;;;4653.987;1099.602;643.2385;;618.9683;330.0255;;0.0;MOD14713
2018-10-07 23:30:57.046000-05:00;;;;;;;;4653.987;1099.602;643.2385;;618.9683;330.1124;;0.0;MOD14713
2018-10-07 23:30:57.452000-05:00;;;;;;;;4654.214;1099.732;643.2914;;619.0349;330.1564;;0.0;MOD14713
2018-10-07 23:30:57.859000-05:00;;;;;;;;4654.33;1099.799;643.3187;;619.0691;330.1564;;0.0;MOD14713
2018-10-07 23:30:58.265000-05:00;;;;;;;;4654.446;1099.867;643.3458;;619.0691;330.2466;;0.0;MOD14713
2018-10-07 23:30:58.671000-05:00;;;;;;;;4654.446;1099.867;643.3458;;619.1357;330.2896;;0.0;MOD14713
2018-10-07 23:30:59.062000-05:00;;;;;;;;4654.67;1099.997;643.3983;;619.1691;330.3335;;0.0;MOD14713
2018-10-07 23:30:59.452000-05:00;;;;;;;;4654.781;1100.061;643.4241;;619.2016;330.3335;;0.0;MOD14713
2018-10-07 23:30:59.859000-05:00;;;;;;;;4654.781;1100.127;643.4507;;619.2016;330.4204;;0.0;MOD14713
2018-10-07 23:31:00.249000-05:00;;;;;;;;4655.004;1100.127;643.4507;;619.2675;330.4633;;0.0;MOD14713
2018-10-07 23:31:00.640000-05:00;;;;;;;;4655.115;1100.256;643.5024;;619.2999;330.4633;;0.0;MOD14713
